Data Split,Balanced,Balance Method,Learner,Prediction Type,TN,FN,TP,FP,Testing Observations,Training Observations,Accuracy,Sensitivity,Specificity,Precision,F1 Score
60-40%,FALSE,NA,glm,response,195005,47754,166,256,243181,364851,0.802575037,0.003464107,0.998688934,0.393364929,0.006867734
60-40%,FALSE,NA,rpart,class,194220,43675,4245,1041,243181,364851,0.816120503,0.088585142,0.994668674,0.803064699,0.15956847
60-40%,FALSE,NA,rpart,prob,159565,35597,12323,35696,243181,364851,0.706831537,0.257157763,0.817188276,0.256627585,0.2568924
60-40%,FALSE,NA,naiveBayes,class,179056,39369,8551,16205,243181,364851,0.771470633,0.178443239,0.917008517,0.345411213,0.235318399
60-40%,FALSE,NA,nnet,class,190336,40715,7205,4925,243181,364851,0.812320864,0.150354758,0.974777349,0.593981863,0.239966694
60-40%,FALSE,NA,ensemble,variable,194242,45086,2834,1019,243181,364851,0.810408708,0.059140234,0.994781344,0.735530755,0.109477913
,,,,,,,,,,MAXIMUM,0.816120503,0.257157763,0.998688934,0.803064699,0.2568924
60-40%,TRUE,ROSE,glm,response,124965,19037,28883,70296,243181,364851,0.63264811,0.602733723,0.639989552,0.291220924,0.392701514
60-40%,TRUE,ROSE,rpart,class,145341,22770,25150,49920,243181,364851,0.701086845,0.524833055,0.744342188,0.335020647,0.40897634
60-40%,TRUE,ROSE,rpart,prob,107059,22638,25282,88202,243181,364851,0.544207812,0.527587646,0.548286652,0.222780304,0.313276003
60-40%,TRUE,ROSE,naiveBayes,class,138172,24895,23025,57089,243181,364851,0.662868398,0.480488314,0.707627227,0.287402951,0.359670088
60-40%,TRUE,ROSE,nnet,class,151893,24097,23823,43368,243181,364851,0.722572898,0.497141068,0.777897276,0.354556414,0.413913527
60-40%,TRUE,ROSE,ensemble,variable,140226,21919,26001,55035,243181,364851,0.68355258,0.54259182,0.718146481,0.320857397,0.403253823
60-40%,TRUE,datasets,ensemble,variable,145437,20066,27854,49824,243181,144152 or 8942,0.712600902,0.581260434,0.744833838,0.358582868,0.443542095
60-40%,TRUE,datasets,ensemble of ensembles,variable,136860,19571,28349,58401,243181,144152 or 8942,0.679366398,0.59159015,0.700908015,0.326789625,0.421014331
,,,,,,,,,,MAXIMUM,0.722572898,0.602733723,0.777897276,0.358582868,0.443542095
70-30%,FALSE,NA,glm,response,146207,35704,150,179,182240,425792,0.803100307,0.004183634,0.998777205,0.455927052,0.008291186
70-30%,FALSE,NA,rpart,class,145574,32699,3155,812,182240,425792,0.816116111,0.087995761,0.994453021,0.795311318,0.158459104
70-30%,FALSE,NA,rpart,prob,119352,26641,9213,27034,182240,425792,0.705470808,0.256958777,0.81532387,0.254172759,0.255558175
70-30%,FALSE,NA,naiveBayes,class,133925,29403,6451,12461,182240,425792,0.770280948,0.179924137,0.914875739,0.341106176,0.235584122
70-30%,FALSE,NA,nnet,class,143651,30082,5772,2735,182240,425792,0.819924276,0.160986222,0.981316519,0.678500059,0.260228579
70-30%,FALSE,NA,ensemble,variable,145704,33002,2852,682,182240,425792,0.815166813,0.079544821,0.995341085,0.807017544,0.14481568
,,,,,,,,,,MAXIMUM,0.819924276,0.256958777,0.998777205,0.807017544,0.260228579
70-30%,TRUE,ROSE,glm,response,93405,14117,21737,52981,182240,425792,0.631815189,0.606264294,0.638073313,0.290920528,0.393173679
70-30%,TRUE,ROSE,rpart,class,91004,14096,21758,55382,182240,425792,0.618755487,0.606850003,0.621671471,0.282058595,0.385117794
70-30%,TRUE,ROSE,rpart,prob,77378,16924,18930,69008,182240,425792,0.528467954,0.527974564,0.528588799,0.215265301,0.305835595
70-30%,TRUE,ROSE,naiveBayes,class,106947,19131,16723,39439,182240,425792,0.678610623,0.466419367,0.730582159,0.297763612,0.363480264
70-30%,TRUE,ROSE,nnet,class,108758,15761,20093,37628,182240,425792,0.707040167,0.56041167,0.742953561,0.348105542,0.429452311
70-30%,TRUE,ROSE,ensemble,variable,101646,15083,20771,44740,182240,425792,0.671735075,0.579321694,0.69436968,0.317061257,0.409825877
70-30%,TRUE,datasets,ensemble,variable,108274,14747,21107,38112,182240,168284 or 10164,0.70994842,0.588693033,0.739647234,0.35642277,0.444016703
70-30%,TRUE,datasets,ensemble of ensembles,variable,104610,14928,20926,41776,182240,168284 or 10164,0.688849868,0.583644782,0.714617518,0.333737361,0.424651975
,,,,,,,,,,MAXIMUM,0.70994842,0.606850003,0.742953561,0.35642277,0.444016703
75-25%,FALSE,NA,glm,response,121673,29974,124,174,151945,456087,0.8015861,0.004119875,0.99857198,0.416107383,0.008158968
75-25%,FALSE,NA,rpart,class,121215,27445,2653,632,151945,456087,0.815216032,0.088145392,0.994813167,0.80761035,0.158943175
75-25%,FALSE,NA,rpart,prob,99753,22451,7647,22094,151945,456087,0.70683471,0.254070038,0.818674239,0.257119801,0.255585822
75-25%,FALSE,NA,naiveBayes,class,111642,24723,5375,10205,151945,456087,0.770127349,0.178583295,0.916247425,0.344993582,0.235343054
75-25%,FALSE,NA,nnet,class,119797,26453,3645,2050,151945,456087,0.812412386,0.121104392,0.983175622,0.640035119,0.203671109
75-25%,FALSE,NA,ensemble,variable,121270,28211,1887,577,151945,456087,0.810536707,0.062695196,0.995264553,0.765827922,0.115901972
,,,,,,,,,,MAXIMUM,0.815216032,0.254070038,0.99857198,0.80761035,0.255585822
75-25%,TRUE,ROSE,glm,response,78388,12372,17726,43459,151945,456087,0.632557833,0.588942787,0.643331391,0.289711531,0.388374615
75-25%,TRUE,ROSE,rpart,class,75831,11925,18173,46016,151945,456087,0.61867123,0.603794272,0.622346057,0.283117045,0.385482622
75-25%,TRUE,ROSE,rpart,prob,65065,14096,16002,56782,151945,456087,0.533528579,0.531663233,0.533989347,0.219856012,0.311074824
75-25%,TRUE,ROSE,naiveBayes,class,85489,15465,14633,36358,151945,456087,0.658935799,0.486178484,0.701609395,0.286972211,0.360912084
75-25%,TRUE,ROSE,nnet,class,89350,12537,17561,32497,151945,456087,0.70361644,0.583460695,0.733296675,0.350813057,0.438170567
75-25%,TRUE,ROSE,ensemble,variable,84501,12707,17391,37346,151945,456087,0.670584751,0.577812479,0.693500866,0.317719276,0.409995874
