Data Split,Balanced,Balance Method,Learner,Prediction Type,Training Observations,Testing Observations,TN,FN,TP,FP,Accuracy,Sensitivity,Specificity,Precision,F1 Score
60-40%,FALSE,NA,glm,response,444830,296209,232700,61697,860,952,0.788497311,0.013747462,0.995925565,0.474613687,0.026720937
60-40%,FALSE,NA,rpart,class,444830,296209,232625,58302,4255,1027,0.799705613,0.068017968,0.995604574,0.805566073,0.125444066
60-40%,FALSE,NA,rpart,prob,444830,296209,187964,46168,16389,45688,0.689894635,0.26198507,0.804461336,0.264010825,0.262994047
60-40%,FALSE,NA,naiveBayes,class,444830,296209,215307,52132,10425,18345,0.762070025,0.166648017,0.921485799,0.362356621,0.228300503
60-40%,FALSE,NA,nnet,class,444830,296209,230000,55161,7396,3652,0.801447627,0.118228176,0.984369918,0.669442433,0.200964608
60-40%,FALSE,NA,ensemble,multiple,2224150,296209,232349,58476,4081,1303,0.798186416,0.065236504,0.99442333,0.757986627,0.120133645
60-40%,TRUE,ROSE,glm,response,444830,296209,139678,22408,40149,93974,0.60709499,0.64179868,0.597803571,0.299344631,0.408267236
60-40%,TRUE,ROSE,rpart,class,444830,296209,139907,21256,41301,93745,0.611757239,0.660213885,0.598783661,0.305829125,0.418019969
60-40%,TRUE,ROSE,rpart,prob,444830,296209,127124,29483,33074,106528,0.540827591,0.528701824,0.544074093,0.236916377,0.327207792
60-40%,TRUE,ROSE,naiveBayes,class,444830,296209,152996,27151,35406,80656,0.636044145,0.565979826,0.654802869,0.305061088,0.396441588
60-40%,TRUE,ROSE,nnet,class,444830,296209,171912,28363,34194,61740,0.695812754,0.546605496,0.735760875,0.356432547,0.431494533
60-40%,TRUE,ROSE,ensemble,multiple,2224150,296209,152098,24058,38499,81554,0.643454453,0.615422734,0.650959547,0.320683365,0.421652702
60-40%,TRUE,datasets,glm,response,186088,296209,139435,23847,38710,94217,0.601416567,0.618795658,0.596763563,0.29121247,0.396042643
60-40%,TRUE,datasets,rpart,class,186088,296209,150834,22717,39840,82818,0.643714404,0.636859184,0.645549792,0.324805557,0.430202737
60-40%,TRUE,datasets,naiveBayes,class,186088,296209,179134,34334,28223,54518,0.700036123,0.451156545,0.766670091,0.341100543,0.388484356
60-40%,TRUE,datasets,nnet,class,145308,296209,165006,24400,38157,68646,0.685877202,0.60995572,0.706204098,0.357265245,0.450602267
60-40%,TRUE,datasets,ensemble,multiple,703572,296209,173074,29505,33052,60578,0.695880274,0.528350145,0.740734083,0.353006515,0.423236249
60-40%,TRUE,datasets,ensemble of differing classifiers on train1,multiple,186088,296209,143528,21247,41310,90124,0.6240121,0.660357754,0.614281068,0.314302235,0.425896047
